JobTitle,Classification,Date
                    CRM Administrator (backend),Developer,01-09-16
                    Cyber Specialists - Offensive and Defensive Roles,Security,01-09-16
                    Mechatronics Engineer,Developer,01-09-16
                    Vehicle Technician,Engineering,01-09-16
                    Life Support Technician,Engineering,01-09-16
                    Applications Support Officer,Developer,01-09-16
                    Project Officer - Virtual Endeavour,Developer,01-09-16
                    Software Developer,Developer,01-09-16
                    Software Developer,Developer,01-09-16
                    Research Technician,Engineering,01-09-16
                    Engineering Supervisor,Developer,01-09-16
"                    Director, Enterprise Technology",Architects,01-09-16
                    Service Management Administrator,Engineering,01-09-16
"                    Manager, Communications and Web",Developer,01-09-16
                    Application Support Officer,Developer,01-09-16
                    Web Developer,Developer,01-09-16
"                    Team Leader, Application Development and Support",Developer,25-08-16
                    Application Developer,Developer,25-08-16
                    Application Developer,Developer,25-08-16
                    Application Developer,Developer,25-08-16
                    Investigator,Security,25-08-16
                     Manager Networks & Storage,Developer,25-08-16
                     Manager Networks & Storage,Developer,25-08-16
                    ICT Support/Developer,Developer,25-08-16
                    Team Leader: Web Development and Content,Developer,25-08-16
                    Materiel Data Officer,Database Development,25-08-16
                    Materiel Data Officer,Database Development,25-08-16
                     ICT Infrastructure Project Officer,Engineering,25-08-16
                     Head of Investment Data Management,Database Development,25-08-16
                     JEE Developer,Developer,25-08-16
                     Transport Safety Investigator - Air Traffic Controller,Security,25-08-16
                    Java Developer,Developer,18-08-16
                    Java Developer,Developer,18-08-16
                    Cyber Specialists - Offensive and Defensive Roles,Security,18-08-16
                     Naval Architect Director,Architects,18-08-16
                    Signals Intelligence Technologist,Telecommunications,18-08-16
                    Contract Administrator,Engineering,18-08-16
                    Contracts Administrator,Engineering,18-08-16
                    Dispute Resolution Officer,Architects,18-08-16
                     Secure Networks Manager,Developer,18-08-16
                     Secure Networks Manager,Developer,18-08-16
                     APS 6 People Solutions Business Partner,Architects,18-08-16
                     IT Application Developer,Developer,18-08-16
                    Assistant Director ICT Platform Management (Network Engineer),Developer,11-08-16
                    Explosive Ordnance Armaments Technician - Radiographer,Engineering,11-08-16
                    Multimedia Specialist,Telecommunications,11-08-16
                    ICT Security Specialist,Security,11-08-16
                    EO Armaments Technician - Operations Coordinator,Engineering,11-08-16
                    Cyber Security Specialist,Security,11-08-16
                    ICT Security Specialist,Security,11-08-16
                    Chief Engineer,Developer,11-08-16
                    Chief Engineer,Developer,11-08-16
