JobTitle,Classification,JobType,Location,Salary,Level,Date,Description
"                     National Manager, People Strategy", Management,"                       Ongoing,  Full-time",                      Barton | ACT,"                        $103,621 - $103,621","               DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
AQIS is looking to recruit a talented HR professional to assume an important leadership and management role within the 
organisation. You will be a forward looking leader who can identify and progress strategic people management priorities for the 
organisation and at the same time, through your strong management skills you will provide direction and support to a team with 
diverse responsibilities, including HR, L&D and OH&S. You will also demonstrate your ability to engender organisational support 
and deliver outcomes and provide support and guidance on operational matters.  AQIS are seeking applications from individuals 
who have demonstrated:  a strong record of achievement in strategic Human Resources Management delivery; experience in a 
broad range of HR, L&D and OH&S Functions; a capacity to engage in wider organisational strategies; leadership; strong 
conceptual and analytical skills; communication and interpersonal skills of a high order.
Eligibility
AQIS is looking for an individual with relevant tertiary qualifications/experience in Human Resource Management or a related 
discipline.  The successful applicant must hold or obtain and maintain a security clearance to the level of Protected.
About Australian Quarantine and Inspection Service
The Department of Agriculture, Fisheries and Forestry is committed to Workplace Diversity.  Selection for all vacancies is made 
on the basis of merit and judged against specific selection criteria.  It is in the interests of all applicants to demonstrate their 
suitability by addressing the selection criteria in their applications.  Enquiries relating to the vacancy should be referred to the 
appropriate Contact Officer.  Successful candidates may be required to undergo a security assessment.  For DAFF and AQIS 
Central Office vacancies the Department prefers electronic lodgement of applications using the online facility on our Internet site 
at www.daff.gov.au/recruitment.  Where electronic lodgement is not possible applications may be e-mailed to 
recruitmentservices@daff.gov.au, forwarded to facsimile 02 6271 6597 or posted to Recruitment Services, Department of 
Agriculture, Fisheries and Forestry, GPO Box 858, Canberra ACT 2601.  For AQIS Regional vacancies, please apply to the 
address in the vacancy advertisement."
                     Learning and Development Coordinator, Management,"                       Ongoing,  Full-time",                      Barton  | ACT,"                        $55,264 - $58,216","               APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
Under direction, the successful applicant will develop, implement and review a range of learning and development materials. 
Provide support in relation to learning support materials and administration and undertake and /or assist in learning and 
development projects as required.
Eligibility
Relevant qualifications in Certificate IV in Workplace Training and Assessment are highly desirable.
About Australian Quarantine and Inspection Service
The Department of Agriculture, Fisheries and Forestry is committed to Workplace Diversity.  Selection for all vacancies is made 
on the basis of merit and judged against specific selection criteria.  It is in the interests of all applicants to demonstrate their 
suitability by addressing the selection criteria in their applications.  Enquiries relating to the vacancy should be referred to the 
appropriate Contact Officer.  Successful candidates may be required to undergo a security assessment.  For DAFF and AQIS 
Central Office vacancies the Department prefers electronic lodgement of applications using the online facility on our Internet site 
at www.daff.gov.au/recruitment.  Where electronic lodgement is not possible applications may be e-mailed to 
recruitmentservices@daff.gov.au, forwarded to facsimile 02 6271 6597 or posted to Recruitment Services, Department of 
Agriculture, Fisheries and Forestry, GPO Box 858, Canberra ACT 2601.  For AQIS Regional vacancies, please apply to the 
address in the vacancy advertisement."
"                     Advisors, Learning and Development, Workforce Planning and OH&S", Consultants,                       Ongoing,                      Barton | ACT,"                        $61,095 - $68,116","               APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
AQIS are looking to attract experienced and talented Learning and Development, Occupational Health and Safety and 
Workforce Planning advisors who have highly developed skills in providing advice and support to Senior Management in 
developing policies and procedures on contemporary people management issues. You will be working in a team environment 
and will be responsible for proactively developing and delivering HR, L&D and OH&S services across a range of internal 
programmes.
Eligibility
Relevant qualifications in Human Resource Management, Statistical Analysis, Certificate IV in Workplace Training and 
Assessment and OH&S or related disciplines are highly desirable.
About Australian Quarantine and Inspection Service
The Department of Agriculture, Fisheries and Forestry is committed to Workplace Diversity.  Selection for all vacancies is made 
on the basis of merit and judged against specific selection criteria.  It is in the interests of all applicants to demonstrate their 
suitability by addressing the selection criteria in their applications.  Enquiries relating to the vacancy should be referred to the 
appropriate Contact Officer.  Successful candidates may be required to undergo a security assessment.  For DAFF and AQIS 
Central Office vacancies the Department prefers electronic lodgement of applications using the online facility on our Internet site 
at www.daff.gov.au/recruitment.  Where electronic lodgement is not possible applications may be e-mailed to 
recruitmentservices@daff.gov.au, forwarded to facsimile 02 6271 6597 or posted to Recruitment Services, Department of 
Agriculture, Fisheries and Forestry, GPO Box 858, Canberra ACT 2601.  For AQIS Regional vacancies, please apply to the 
address in the vacancy advertisement."
"                     Senior Advisors, Human Resources, Learning and Development and OH&S", Consultants,                       Ongoing,                      Barton | ACT,"                        $76,504 - $82,490","               DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
AQIS is looking for experienced and talented HR, L&D and OH&S professionals who have demonstrated their ability to provide 
high-level advice and support to Senior Management in developing policies and procedures on contemporary people 
management issues. 
AQIS are seeking applications from individuals with a strong understanding of modern and effective human resource, learning 
and development and occupational health and safety principles and practices as well as strong communication and 
interpersonal skills, with a demonstrated ability to interact with key internal and external stakeholders, industry and professional 
bodies and represent AQIS interests in a range of Departmental and other forums. The successful candidates will actively 
participate as a member of a team in undertaking a range of tasks as required relating to the work of the People Strategy Group.
As an employee of AQIS, you will be expected to uphold the APS Values and comply with the APS Code of Conduct in 
undertaking these duties. You will be required to uphold the DAFF/AQIS values of professionalism, integrity, openness, fairness 
and respect which build on the APS Values.
Eligibility
AQIS is looking for people with relevant tertiary qualifications in Human Resource Management or related qualifications.
About Australian Quarantine and Inspection Service
The Department of Agriculture, Fisheries and Forestry is committed to Workplace Diversity.  Selection for all vacancies is made 
on the basis of merit and judged against specific selection criteria.  It is in the interests of all applicants to demonstrate their 
suitability by addressing the selection criteria in their applications.  Enquiries relating to the vacancy should be referred to the 
appropriate Contact Officer.  Successful candidates may be required to undergo a security assessment.  For DAFF and AQIS 
Central Office vacancies the Department prefers electronic lodgement of applications using the online facility on our Internet site 
at www.daff.gov.au/recruitment.  Where electronic lodgement is not possible applications may be e-mailed to 
recruitmentservices@daff.gov.au, forwarded to facsimile 02 6271 6597 or posted to Recruitment Services, Department of 
Agriculture, Fisheries and Forestry, GPO Box 858, Canberra ACT 2601.  For AQIS Regional vacancies, please apply to the 
address in the vacancy advertisement."
                     Co-ordinators/Managers, Management,                       Ongoing,                      Tullamarine | VIC,"                        $76,504 - $82,490","               DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
High level leadership capability is required to lead and manage a team in delivering AQIS services across the Victoria region. 
Develop and deliver program services in accordance with resource budgets and pursue innovative work practices. Represent 
AQIS in negotiations with industry bodies, clients and other government agencies.
Eligibility
Applicants are required to meet the following conditions of employment:
Successful applicants must have Australian Citizenship; Successful applicants must be medically cleared to perform the core 
duties of the position; Successful applicants must pass AFP records check and Appropriate Security clearances; Successful 
applicants may occasionally be required to work outside the normal span of hours and travel intra and interstate; Applicants 
must be able to rotate through a range of positions across programs, in accordance with AQIS policy; Successful applicants 
must have a current drivers licence.
About Australian Quarantine and Inspection Service
The Department of Agriculture, Fisheries and Forestry is committed to Workplace Diversity.  Selection for all vacancies is made 
on the basis of merit and judged against specific selection criteria.  It is in the interests of all applicants to demonstrate their 
suitability by addressing the selection criteria in their applications.  Enquiries relating to the vacancy should be referred to the 
appropriate Contact Officer.  Successful candidates may be required to undergo a security assessment.  For DAFF and AQIS 
Central Office vacancies the Department prefers electronic lodgement of applications using the online facility on our Internet site 
at www.daff.gov.au/recruitment.  Where electronic lodgement is not possible applications may be e-mailed to 
recruitmentservices@daff.gov.au, forwarded to facsimile 02 6271 6597 or posted to Recruitment Services, Department of 
Agriculture, Fisheries and Forestry, GPO Box 858, Canberra ACT 2601.  For AQIS Regional vacancies, please apply to the 
address in the vacancy advertisement."
                    Administrative Officer (expected employment opportunity), Administration,                      Non-ongoing (Temporary),                     Barton | ACT,"                       $61,095 - $68,116","              APS Level 6, DAFF Band 2",categorized-2007-08-09,"Job Description:Duties
The successful applicant will contribute to the development and implementation of projects within the Climate Impact Sciences 
(CIS) Programme, in particular, ensuring best business practises are implemented and provide secretariat support for several 
science-based and advisory committees."
                    Senior Scientist, Consultants,                      Ongoing,                     Barton | ACT,"                       $89,039 - $105,321","              DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
The Land Management Sciences Programme seeks a senior scientist to lead a small project team and deliver advice to policy 
makers on biotechnology. The successful applicant will have a record achievement in a relevant discipline and have 
demonstrated the ability to produce integrated scientific advice for direct application to government policy decisions. Interstate 
and overseas travel may be required.
Eligibility
Applicants should have a PhD or equivalent qualification in a relevant discipline."
                    Communications Manager, Management,                      Ongoing,                     Barton | ACT,"                       $89,039 - $100,504","              DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
The successful applicant will manage the internal and external communication activities for the Bureau of Rural Sciences 
through management of the communications team, coordination of media, marketing and promotional activities; writing media 
releases, articles and speeches; liaising with media and representing BRS in various forums. The successful applicant will have 
a proven record in developing productive working relationships with a range of internal and external stakeholders.
Eligibility
Appropriate tertiary qualifications and considerable experience in communications and event management."
                    Communications Manager, Management,                      Ongoing,                     Barton | ACT,"                       $89,039 - $100,504","              DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
The Bureau of Rural Sciences seeks highly motivated, innovative and experienced officers to fill 2 Senior Executive positions.  
The people we seek will preferably have a background in the management and delivery of scientific programmes.  They will help 
us in addressing a complex array of rural issues, including the availability of water, the impacts of climate change, biosecurity, 
fisheries and forestry, and social perceptions and change.  The successful applicants will manage one of the following BRS 
Branches, each comprising approximately sixty staff: Fisheries, Forestry and Land Sciences; Social, Biosecurity and Risk 
Sciences; and Climate and Rural Water Sciences.
In conjunction with the Secretary, the Executive Director of BRS and other senior officers, the Branch Head will lead and 
manage a group of BRS Programmes including setting strategic directions, oversighting scientific product quality and applying 
and shaping human and financial resources to meet BRS and DAFF business needs.  They will also be a point of contact 
between clients and BRS in aligning work to DAFF and whole-of-government policy and programme priorities and ensuring 
collaboration between BRS Branches to deliver, as necessary, integrated products and outputs for clients.
Eligibility
Applicants will have strong skills in management, be able to maintain a strategic focus, provide leadership to a multi-disciplinary 
team, very good communication and negotiation skills.  Relevant tertiary and professional qualifications are highly desirable."
                    Animal Health Secretariat, Administration,                      Ongoing,                     Barton | ACT,"                       $95,579 - $98,192","              DAFF Band 3, Executive Level 2",categorized-2007-08-09,"Job Description:Duties
This position would suit a person looking to gain experience in animal health decision making processes, developing a network 
with state-based animal health colleagues and actively participating in animal health policy development. Some interstate travel 
is involved.
Eligibility
A degree in Veterinary Science or equivalent is mandatory, registrable in any State or Territory of Australia."
